id,title,note,medium,size,year,price_rub,image,label
1,AFRICAN SOUVENIR,диптих,"холст, акрил, масляная пастель, аэрограф",140×70 см,2021,260000,Works/01-african-souvenir.jpg,Labels/01-african-souvenir.png
2,ABAT-JOUR,,"холст, акрил, масляная пастель, аэрограф",50×70 см,2023,130000,Works/02-abat-jour.jpg,Labels/02-abat-jour.png
3,TIGER,,"бумага, шелкография, авторская доработка",50×70 см,2024,15000,Works/03-tiger.jpg,Labels/03-tiger.png
4,LIZA,,"холст, акрил, масляная пастель",95×71 см,2024,100000,Works/04-liza.jpg,Labels/04-liza.png
5,DON’T FORGET TO BE HAPPY,,"холст, акрил, масляная пастель",71×95 см,2023,150000,Works/05-dont-forget-to-be-happy.jpg,Labels/05-dont-forget-to-be-happy.png
6,ОН НИ В ЧЁМ НЕ ВИНОВАТ,,"холст, акрил, масляная пастель",59×76 см,2023,150000,Works/06-on-ni-v-chem-ne-vinovat.png,
7,METRO POOL,,"холст, акрил, масляная пастель",89×69 см,2024,160000,Works/07-metro-pool.png,
8,IT'S NOT A DREAM,,"холст, акрил, масляная пастель",65×87 см,2023,160000,Works/08-its-not-a-dream.png,
9,SLOW DANCE,,"холст, акрил, масляная пастель",52×71 см,2023,110000,Works/09-slow-dance.png,
10,PLEASE STOP,,"холст, акрил, масляная пастель",54×70 см,2023,140000,Works/10-please-stop.png,
11,WORK IN PROGRESS,,"холст, акрил, масляная пастель",54×54 см,2026,100000,Works/11-work-in-progress.png,
12,SCOR PIE,,"холст, акрил, масляная пастель",32×23 см,2025,25000,Works/12-scor-pie.png,
13,MYXA,,"холст, акрил, масляная пастель",60×60 см,2021,120000,Works/13-myxa.jpg,Labels/13-myxa.png
